流水號,文章來源或個人分類,加入日期,急迫程度,挑選文章的老師,NOTE,Citation,Citation Update,Author(s)-Last Name,Author(s) -Full Name,Year,Paper Name,Journal name,Journal Abbreviations,Vol.(No.),Page,Symposium,JEL code,keyword,PDF檔名,初稿完成日期,最近更新日期,全文,文章進度,資料夾link,原文link,中文link,check log,check
000298,JEPerspectives2016-2018,20191115.0,C,賴孚權,,47.0,,"Groshen, Moyer, Aizcorbe, Bradley and Friedman","Erica L. Groshen, Brian C. Moyer, Ana M. Aizcorbe, Ralph Bradley and David M. Friedman",2017.0,How Government Statistics Adjust for Potential Biases from Quality Change and New Goods in an Age of Digital Technologies: A View from the Trenches,Journal of Economic Perspectives,JEPerspectives,31(2),187-210,Are measures of economic growth biased?,,,,2019-11-28 00:00:00,2019-11-28 00:00:00,1,1.0,/volume1/web/DB/000298,"/volume1/web/DB/Groshen, Moyer, Aizcorbe, Bradley and Friedman (2017)_How Government Statistics Adjust_JEP 31(2) 187-210_en.pdf",/volume1/web/DB/Groshen_Moyer_Aizcorbe_Bradley_Friedman2017_JEP_inChinese_20191128_fcn.pdf,2020-07-02 00:00:34.150607,1
000299,JEPerspectives2016-2018,20191115.0,A,賴孚權,,2367.0,,Allcott and Gentzkow,Hunt Allcott and Matthew Gentzkow,2017.0,Social Media and Fake News in the 2016 Election,Journal of Economic Perspectives,JEPerspectives,31(2),211-36,Articles,,,,2020-01-21 00:00:00,2020-01-21 00:00:00,1,1.0,/volume1/web/DB/000299,/volume1/web/DB/Allcott and Gentzkow (2017)_Social Media and Fake News in the 2016 Election_JEP 31(2) 211-36_en.pdf,/volume1/web/DB/Allcott_Gentzkow2017_JEP_inChinese_20200121_fcn.pdf,2020-07-02 00:00:34.063870,1
000300,JEPerspectives2016-2018,20191115.0,C,賴孚權,,13.0,,"Berk, Harvey and Hirshleifer","Jonathan B. Berk, Campbell R. Harvey and David Hirshleifer",2017.0,How to Write an Effective Referee Report and Improve the Scientific Review Process,Journal of Economic Perspectives,JEPerspectives,31(1),231-44,Articles,,,,2019-12-03 00:00:00,2019-12-03 00:00:00,1,1.0,/volume1/web/DB/000300,"/volume1/web/DB/Berk, Harvey and Hirshleifer (2017)_How to Write an Effective Referee Report and Improve the Scientific Review Process_JEP 31(1) 231-44_en.pdf",/volume1/web/DB/Berk_Harvey_Hirshleifer2017_JEP_inChinese_20191203_fcn.pdf,2020-07-02 00:00:34.150134,1
000301,JEPerspectives2016-2018,20191115.0,C,賴孚權,,126.0,,"Kerr,  Kerr, Özden and Parsons","Sari Pekkala Kerr, William Kerr, Çağlar Özden and Christopher Parsons",2016.0,Global Talent Flows,Journal of Economic Perspectives,JEPerspectives,30(4),83-106,Immigration and Labor Markets,,,,2019-12-06 00:00:00,2019-12-06 00:00:00,1,1.0,/volume1/web/DB/000301,"/volume1/web/DB/Kerr, Kerr, ??zden and Parsons (2016)_Global Talent Flows_JEP 30(4) 83-106_en.pdf",/volume1/web/DB/Kerr_Kerr_Ozden_Parsons2016_JEP_inChinese_20191206_fcn.pdf,2020-07-02 00:00:34.149913,1
000302,JEPerspectives2016-2018,20191115.0,C,賴孚權,,44.0,,Samuelson,Larry Samuelson,2016.0,Game Theory in Economics and Beyond,Journal of Economic Perspectives,JEPerspectives,30(4),107-30,What is happening in game theory?,,,,2019-12-03 00:00:00,2019-12-03 00:00:00,1,1.0,/volume1/web/DB/000302,/volume1/web/DB/Samuelson (2016)_Game Theory in Economics and Beyond_JEP 30(4) 107-30_en.pdf,/volume1/web/DB/Samuelson2016_JEP_inChinese_20191203_fcn.pdf,2020-07-02 00:00:34.149654,1
000303,JEPerspectives2016-2018,20191115.0,C,賴孚權,,124.0,,Woessmann,Ludger Woessmann,2016.0,The Importance of School Systems: Evidence from International Differences in Student Achievement,Journal of Economic Perspectives,JEPerspectives,30(3),3-32,Schools and Accountability,,,,2019-12-13 00:00:00,2019-12-13 00:00:00,1,1.0,/volume1/web/DB/000303,/volume1/web/DB/Woessmann (2016)_The Importance of School Systems _JEP 30(3) 3-32_en.pdf,/volume1/web/DB/Woessmann2016_JEP_inChinese_20191213_fcn.pdf,2020-07-02 00:00:34.149421,1
000304,JEPerspectives2016-2018,20191115.0,C,賴孚權,,219.0,,"Bauer, Blattman, Chytilová, Henrich, Miguel and Mitts","Michal Bauer, Christopher Blattman, Julie Chytilová, Joseph Henrich, Edward Miguel and Tamar Mitts",2016.0,Can War Foster Cooperation?,Journal of Economic Perspectives,JEPerspectives,30(3),249-74,Articles,,,,2019-12-10 00:00:00,2019-12-10 00:00:00,1,1.0,/volume1/web/DB/000304,"/volume1/web/DB/Bauer, Blattman, Chytilov??, Henrich, Miguel and Mitts (2016)_Can War Foster Cooperation_JEP 30(3) 249-74_en.pdf",/volume1/web/DB/Bauer_Blattman_Chytilova_Henrich_Miguel_Mitts2016_JEP_inChinese_20191210_fcn.pdf,2020-07-02 00:00:34.149136,1
000305,JEPerspectives2016-2018,20191115.0,C,賴孚權,,35.0,,Lofstrom and Raphael,Magnus Lofstrom and Steven Raphael,2016.0,"Crime, the Criminal Justice System, and Socioeconomic Inequality",Journal of Economic Perspectives,JEPerspectives,30(2),103-26,Inequality Beyond Income,,,,2019-12-05 00:00:00,2019-12-05 00:00:00,1,1.0,/volume1/web/DB/000305,"/volume1/web/DB/Lofstrom and Raphael (2016)_Crime, the Criminal Justice System, and Socioeconomic Inequality_JEP 30(2) 103-26_en.pdf",/volume1/web/DB/Lofstrom_Raphael2016_JEP_inChinese_20191205_fcn.pdf,2020-07-02 00:00:34.148871,1
000306,JEPerspectives2016-2018,20191115.0,C,賴孚權,,102.0,,"Greenstein, Peitz and Valletti","Shane Greenstein, Martin Peitz and Tommaso Valletti",2016.0,Net Neutrality: A Fast Lane to Understanding the Trade-Offs,Journal of Economic Perspectives,JEPerspectives,30(2),127-50,Articles,,,,2019-11-26 00:00:00,2019-11-27 00:00:00,0,1.0,/volume1/web/DB/000306,"/volume1/web/DB/Greenstein, Peitz and Valletti (2016)_Net Neutrality A Fast Lane to Understanding the Trade-Offs_JEP 30(2) 127-50_en.pdf",/volume1/web/DB/Greenstein_Peitz_Valletti2016_JEP_inChinese_20191127_pcn.pdf,2020-07-02 00:00:34.148608,1
000307,JEPerspectives2016-2018,20191115.0,C,賴孚權,,168.0,,Cavallo and Rigobon,Alberto Cavallo and Roberto Rigobon,2016.0,The Billion Prices Project: Using Online Prices for Measurement and Research,Journal of Economic Perspectives,JEPerspectives,30(2),151-78,Articles,,,,2019-12-09 00:00:00,2019-12-09 00:00:00,1,1.0,/volume1/web/DB/000307,/volume1/web/DB/Cavallo and Rigobon (2016)_The Billion Prices Project _JEP 30(2) 151-78_en.pdf,/volume1/web/DB/Cavallo_Rigobon2016_JEP_inChinese_20191209_fcn.pdf,2020-07-02 00:00:34.148327,1
000308,JEPerspectives2016-2018,20191115.0,C,賴孚權,,189.0,,Gabaix,Xavier Gabaix,2016.0,Power Laws in Economics: An Introduction,Journal of Economic Perspectives,JEPerspectives,30(1),185-206,Articles,,,,2019-11-22 00:00:00,2019-11-22 00:00:00,0,1.0,/volume1/web/DB/000308,/volume1/web/DB/Gabaix (2016)_Power Laws in Economics An Introduction_JEP 30(1) 185-206_en.pdf,/volume1/web/DB/Gabaix2016_JEP_inChinese_20191122_pcn.pdf,2020-07-02 00:00:34.148048,1
000309,FC 20191119,20191119.0,A,賴孚權,,1672.0,,Krugman,Paul Krugman,1998.0,What's new about the new economic geography,Oxford Review of Economic Policy,OxfordREPolicy,14(2),7-17,,0,0,,2019-11-26 00:00:00,2019-12-03 00:00:00,1,2.0,/volume1/web/DB/000309,/volume1/web/DB/Krugman(1998)_What's new about the new economic geography_Oxford Review of Economic Policy_14(2)_7-17_en.pdf,/volume1/web/DB/Krugman1998_OxfordREP_inChinese_e1_20191203_fcnn.pdf,2020-07-02 00:00:34.067152,1
000310,FC 20191129,20191129.0,A,賴孚權,,8.0,,Proost and Thisse,"Proost, Stef, and Jacques-François Thisse",2019.0,What Can Be Learned from Spatial Economics?,Journal of Economic Literature,JEL,57(3),575-643,Articles,,,,2019-12-03 00:00:00,2019-12-17 00:00:00,1,2.0,/volume1/web/DB/000310,/volume1/web/DB/Proost and Thisse (2019)_What Can Be Learned from Spatial Economics_JEL_57 (3) 575-643_en.pdf,/volume1/web/DB/Proost_Thisse2019_JEL_inChinese-LAI_20191217_fcnn.pdf,2020-07-02 00:00:34.066720,1
000311,Spatial,20191202.0,B,賴孚權,,410.0,,"Acemoglu, Akcigit, Alp, Bloom and Kerr","Daron Acemoglu, Ufuk Akcigit, Harun Alp, Nicholas Bloom and William Kerr",2018.0,"Innovation, Reallocation, and Growth",American Economic Review,AER,108(11),3450-91,,,,,2019-12-02 00:00:00,2019-12-02 00:00:00,0,1.0,/volume1/web/DB/000311,"/volume1/web/DB/Acemoglu, Akcigit, Alp, Bloom and Kerr (2018)_Innovation, Reallocation, and Growth_AER 108(11), 3450-3491_en.pdf",/volume1/web/DB/Acemoglu_Akcigit_Alp_Bloom_Kerr2018_AER_inChinese_20191202_pcn.pdf,2020-07-02 00:00:34.110008,1
000312,Spatial,20191202.0,B,賴孚權,,15.0,,Bleakley and Lin,Hoyt Bleakley and Jeffrey Lin,2015.0,History and the Sizes of Cities,American Economic Review,AER,105(5),558-63,,,,,2019-12-05 00:00:00,2019-12-05 00:00:00,0,1.0,/volume1/web/DB/000312,"/volume1/web/DB/Bleakley and Lin (2015)_History and the City_AER Papers and Proceedings 105(5), 558-563_en.pdf",/volume1/web/DB/Bleakley_Lin2015_JEP_inChinese_20191205_pcn.pdf,2020-07-02 00:00:34.110260,1
000313,Spatial,20191202.0,B,賴孚權,,362.0,,"Bloom, Liang, Roberts and Ying","Nicholas A. Bloom, James Liang, John Roberts, Zhichun Jenny Ying",2015.0,Does Working from Home Work? Evidence from a Chinese Experiment,Quarterly Journal of Economics,QJE,130(1),165-218,,,,,2019-12-02 00:00:00,2019-12-02 00:00:00,0,1.0,/volume1/web/DB/000313,"/volume1/web/DB/Bloom, Liang, Roberts and Ying (2015)_Does Working From Home Work_QJE 130(1), 165-218_en.pdf",/volume1/web/DB/Bloom_Liang_Roberts_Ying2015_QuarterlyJournalofEconomics_inChinese_20191202_pcn.pdf,2020-07-02 00:00:34.110485,1
000314,Spatial,20191202.0,B,賴孚權,,68.0,,Helsley and Strange,Robert W. Helsley and William C. Strange,2014.0,"Coagglomeration, Clusters, and the Scale and Composition of Cities",Journal of Political Economy,JPE,122(5),1064-1093,,,,,2019-12-05 00:00:00,2019-12-05 00:00:00,0,1.0,/volume1/web/DB/000314,"/volume1/web/DB/Helsley and Strange (2014)_Coagglomeration, Clusters, and the Scale and Composition of Cities_JPE 122(5), 1064-1093_en.pdf",/volume1/web/DB/Helsley_Strange2014_JPE_inChinese_20191205_pcn.pdf,2020-07-02 00:00:34.109800,1
000315,"AER2016,high citation",20191202.0,C,賴孚權,AER百大-pcn,731.0,,Pierce and Schott,Justin R. Pierce and Peter K. Schott,2016.0,The Surprisingly Swift Decline of US Manufacturing Employment,American Economic Review,AER,106(7),1632-62,,,,,2019-12-09 00:00:00,2019-12-09 00:00:00,0,1.0,/volume1/web/DB/000315,/volume1/web/DB/Pierce and Schott(2016)_The Surprisingly Swift Decline of US Manufacturing Employment_AER_106(7)_1632-62_en.pdf,/volume1/web/DB/Pierce_Schott2016_AER_inChinese_20191209_pcn.pdf,2020-07-02 00:00:34.157079,1
000316,"AER2016,high citation",20191202.0,C,賴孚權,,3.0,,"Muehlenbachs, Spiller and Timmins","Lucija Muehlenbachs, Elisheba Spiller and Christopher Timmins",2016.0,The Housing Market Impacts of Shale Gas Development: Corrigendum,American Economic Review,AER,106(2),475-475,,,,,2019-12-09 00:00:00,2019-12-09 00:00:00,1,1.0,/volume1/web/DB/000316,"/volume1/web/DB/Muehlenbachs, Spiller and Timmins(2016)_The Housing Market Impacts of Shale Gas Development Corrigendum_AER 106(2)_475-475_en.pdf",/volume1/web/DB/Muehlenbachs_Spiller_Timmins2016_AER_inChinese_20191209_fcn.pdf,2020-07-02 00:00:34.157330,1
000317,QJE2016-2018,20191203.0,C,賴孚權,,341.0,,"Kleinberg, Lakkaraju, Leskovec, Ludwig, Mullainathan","Jon Kleinberg, Himabindu Lakkaraju, Jure Leskovec, Jens Ludwig, Sendhil Mullainathan",2018.0,Human Decisions and Machine Predictions,Quarterly Journal of Economics,QJE,133(1),237–293,,,,,2019-12-11 00:00:00,2019-12-11 00:00:00,0,1.0,/volume1/web/DB/000317,"/volume1/web/DB/Kleinberg, Lakkaraju, Leskovec, Ludwig, Mullainathan (2018)_Human Decisions and Machine Predictions_QJE_133(1)_237???293_en.pdf",/volume1/web/DB/Kleinberg_Lakkaraju_Leskovec_Ludwig_Mullainathan2018_QJE_inChinese_20191211_pcn.pdf,2020-07-02 00:00:34.189129,1
000318,QJE2016-2018,20191203.0,C,賴孚權,,53.0,,"Hendricks, Schoellman","Lutz Hendricks, Todd Schoellman",2018.0,Human Capital and Development Accounting: New Evidence from Wage Gains at Migration,Quarterly Journal of Economics,QJE,133(2),665–700,,,,,2019-12-11 00:00:00,2019-12-11 00:00:00,0,1.0,/volume1/web/DB/000318,"/volume1/web/DB/Hendricks, Schoellman (2018)_Human Capital_New Evidence from Wage Gains at Migration_QJE_133(2)_665???700_en.pdf",/volume1/web/DB/Hendricks_Schoellman2018_QJE_inChinese_20191211_pcn.pdf,2020-07-02 00:00:34.186448,1
000319,QJE2016-2018,20191203.0,C,賴孚權,,127.0,,"Hoffman, Kahn, Li","Mitchell Hoffman, Lisa B Kahn, Danielle Li",2018.0,Discretion in Hiring ,Quarterly Journal of Economics,QJE,133(2),765–800,,,,,2019-12-10 00:00:00,2019-12-10 00:00:00,0,1.0,/volume1/web/DB/000319,"/volume1/web/DB/Hoffman, Kahn, Li (2018)_Discretion in Hiring_QJE_133(2)_765???800_en.pdf",/volume1/web/DB/Hoffman_Kahn_Li2018_QJE_inChinese_20191210_pcn.pdf,2020-07-02 00:00:34.189402,1
000320,QJE2016-2018,20191203.0,C,賴孚權,,314.0,,"Chetty, Hendren","Raj Chetty, Nathaniel Hendren",2018.0,The Impacts of Neighborhoods on Intergenerational Mobility I: Childhood Exposure Effects,Quarterly Journal of Economics,QJE,133(3),1107–1162,,,,,2019-12-13 00:00:00,2019-12-13 00:00:00,0,1.0,/volume1/web/DB/000320,"/volume1/web/DB/Chetty, Hendren (2018)_The Impacts of Neighborhoods on Intergenerational Mobility I_Childhood Exposure Effects_QJE_133(3)_1107???1162_en.pdf",/volume1/web/DB/Chetty_Hendren_2018a_QJE_inChinese_20191213_pcn.pdf,2020-07-02 00:00:34.186711,1
000321,QJE2016-2018,20191203.0,C,賴孚權,,573.0,,"Chetty, Hendren","Raj Chetty, Nathaniel Hendren",2018.0,The Impacts of Neighborhoods on Intergenerational Mobility II: County-Level Estimates,Quarterly Journal of Economics,QJE,133(3),1163–1228,,,,,2019-12-11 00:00:00,2019-12-11 00:00:00,0,1.0,/volume1/web/DB/000321,"/volume1/web/DB/Chetty, Hendren (2018)_The Impacts of Neighborhoods_QJE_133(3)_1163-1228_en.pdf",/volume1/web/DB/Chetty_Hendren_2018_QJE_inChinese_20191211_pcn.pdf,2020-07-02 00:00:34.189647,1
000322,QJE2016-2018,20191203.0,C,賴孚權,,43.0,,"Campante, Yanagizawa-Drott","Filipe Campante, David Yanagizawa-Drott",2018.0,Long-Range Growth: Economic Development in the Global Network of Air Links,Quarterly Journal of Economics,QJE,133(3),1395–1458,,,,,2019-12-17 00:00:00,2019-12-17 00:00:00,0,1.0,/volume1/web/DB/000322,"/volume1/web/DB/Campante, Yanagizawa-Drott (2018)_Long-Range Growth_Economic Development in the Global Network of Air Links_QJE_133(3)_1395???1458_en_en.pdf",/volume1/web/DB/Campante_YanagizawaDrott2018_QJE_inChinese_20191217_pcn.pdf,2020-07-02 00:00:34.187006,1
000323,QJE2016-2018,20191203.0,C,賴孚權,,44.0,,"Bursztyn, Ferman, Fiorin, Kanz, Rao","Leonardo Bursztyn, Bruno Ferman, Stefano Fiorin, Martin Kanz, Gautam Rao",2018.0,Status Goods: Experimental Evidence from Platinum Credit Cards ,Quarterly Journal of Economics,QJE,133(3),1561–1595,,,,,2019-12-10 00:00:00,2019-12-10 00:00:00,0,1.0,/volume1/web/DB/000323,"/volume1/web/DB/Bursztyn, Ferman, Fiorin, Kanz, Rao (2018)_Status Goods_Experimental Evidence from Platinum Credit Cards_QJE_133(3)_1561???1595_en.pdf",/volume1/web/DB/Bursztyn_Ferman_Fiorin_Kanz_Rao2018_QJE_inChinese_20191210_pcn.pdf,2020-07-02 00:00:34.187281,1
000324,QJE2016-2018,20191203.0,C,賴孚權,,54.0,,"Spenkuch, Toniatti","Jörg L Spenkuch, David Toniatti",2018.0,Political Advertising and Election Results,Quarterly Journal of Economics,QJE,133(4),1981–2036,,,,,2019-12-10 00:00:00,2019-12-10 00:00:00,0,1.0,/volume1/web/DB/000324,"/volume1/web/DB/Spenkuch, Toniatti (2018)_Political Advertising and Election Results_QJE_133(4)_1981???2036_en.pdf",/volume1/web/DB/Spenkuch_Toniatti2018_QJE_inChinese_20191210_pcn.pdf,2020-07-02 00:00:34.189878,1
000325,QJE2016-2018,20191203.0,C,賴孚權,,655.0,,"Kogan, Papanikolaou, Seru, Stoffman","Leonid Kogan, Dimitris Papanikolaou, Amit Seru, Noah Stoffman",2017.0,"Technological Innovation, Resource Allocation, and Growth",Quarterly Journal of Economics,QJE,132(2),665–712,,,,,2019-12-11 00:00:00,2019-12-11 00:00:00,0,1.0,/volume1/web/DB/000325,"/volume1/web/DB/Kogan, Papanikolaou, Seru, Stoffman (2017)_Technological Innovation, Resource Allocation, and Growth_QJE_132(2)_665???712_en.pdf",/volume1/web/DB/Kogan_Papanikolaou_Seru_Stoffman2017_QJE_inChinese_20191211_pcn.pdf,2020-07-02 00:00:34.190109,1
000326,QJE2016-2018,20191203.0,C,賴孚權,,24.0,,"Polborn, Snyder, Jr.","Mattias K. Polborn, James M. Snyder, Jr.",2017.0,Party Polarization in Legislatures with Office-Motivated Candidates,Quarterly Journal of Economics,QJE,132(3),1509–1550,,,,,2019-12-11 00:00:00,2019-12-11 00:00:00,0,1.0,/volume1/web/DB/000326,"/volume1/web/DB/Polborn, Snyder (2017)_Party Polarization in Legislatures with Office-Motivated Candidates_QJE_132(3)_1509???1550_en.pdf",/volume1/web/DB/Polborn_Snyder2017_QJE_inChinese_20191211_pcn.pdf,2020-07-02 00:00:34.188394,1
000327,QJE2016-2018,20191203.0,C,賴孚權,,259.0,,"Heathcote, Storesletten, Violante","Jonathan Heathcote, Kjetil Storesletten, Giovanni L. Violante",2017.0,Optimal Tax Progressivity: An Analytical Framework,Quarterly Journal of Economics,QJE,132(4),1693–1754,,,,,2019-12-13 00:00:00,2019-12-13 00:00:00,0,1.0,/volume1/web/DB/000327,"/volume1/web/DB/Heathcote, Storesletten,Violante (2017)_Optimal Tax Progressivity_An Analytical Framework_QJE_132(4)_1693???1754_en.pdf",/volume1/web/DB/Heathcote_Storesletten_Violante2017_QJE_inChinese_20191213_pcn.pdf,2020-07-02 00:00:34.188078,1
000328,QJE2016-2018,20191203.0,C,賴孚權,,124.0,,"Bó, Finan, Folke, Persson, Rickne","Ernesto Dal Bó, Frederico Finan, Olle Folke, Torsten Persson, Johanna Rickne",2017.0,Who Becomes A Politician? ,Quarterly Journal of Economics,QJE,132(4),1877–1914,,,,,2019-12-11 00:00:00,2019-12-11 00:00:00,0,1.0,/volume1/web/DB/000328,"/volume1/web/DB/B??, Finan, Folke, Persson, Rickne (2017)_Who Becomes A Politician_QJE_132(4)_1877???1914_en.pdf",/volume1/web/DB/Bo_Finan_Folke_Persson_Rickne2017_QJE_inChinese_20191211_pcn.pdf,2020-07-02 00:00:34.190368,1
000329,QJE2016-2018,20191203.0,C,賴孚權,,460.0,,"Jackson, Johnson, Persico","C. Kirabo Jackson, Rucker C. Johnson, Claudia Persico",2016.0,The Effects of School Spending on Educational and Economic Outcomes: Evidence from School Finance Reforms ,Quarterly Journal of Economics,QJE,131(1),157–218,,,,,2019-12-11 00:00:00,2019-12-11 00:00:00,0,1.0,/volume1/web/DB/000329,"/volume1/web/DB/Jackson, Johnson, Persico (2016)_The Effects of School Spending on Educational and Economic Outcomes_Evidence from School Finance Reforms_QJE_131(1)_157???218_en.pdf",/volume1/web/DB/Jackson_Johnson_Persico2016_QJE_inChinese_20191211_pcn.pdf,2020-07-02 00:00:34.188642,1
000330,QJE2016-2018,20191203.0,C,賴孚權,,46.0,,"Boffa, Piolatto, Ponzetto","Federico Boffa, Amedeo Piolatto, Giacomo A. M. Ponzetto",2016.0,Political Centralization and Government Accountability ,Quarterly Journal of Economics,QJE,131(1),381–422,,,,,2019-12-10 00:00:00,2019-12-10 00:00:00,0,1.0,/volume1/web/DB/000330,"/volume1/web/DB/Boffa, Piolatto, Ponzetto (2016)_Political Centralization and Government Accountability_QJE_131(1)_381???422_en.pdf",/volume1/web/DB/Boffa_Piolatto_Ponzetto2016_QJE_inChinese_20191210_pcn.pdf,2020-07-02 00:00:34.191848,1
000331,QJE2016-2018,20191203.0,C,賴孚權,,328.0,,"Card, Cardoso, Kline","David Card, Ana Rute Cardoso, Patrick Kline",2016.0,"Bargaining, Sorting, and the Gender Wage Gap: Quantifying the Impact of Firms on the Relative Pay of Women ",Quarterly Journal of Economics,QJE,131(2),633–686,,,,,2019-12-10 00:00:00,2019-12-10 00:00:00,0,1.0,/volume1/web/DB/000331,"/volume1/web/DB/Card, Cardoso, Kline (2016)_Bargaining, Sorting, and the Gender Wage Gap_Quantifying the Impact of Firms on the Relative Pay of Women_QJE_131(2)_633???686_en.pdf",/volume1/web/DB/Card_Cardoso_Kline2016_QJE_inChinese_20191210_pcn.pdf,2020-07-02 00:00:34.191607,1
000332,QJE2016-2018,20191203.0,C,賴孚權,,558.0,,"Donaldson, Hornbeck","Dave Donaldson, Richard Hornbeck",2016.0,Railroads and American Economic Growth: A “Market Access” Approach ,Quarterly Journal of Economics,QJE,131(2),799–858,,,,,2019-12-13 00:00:00,2019-12-13 00:00:00,0,1.0,/volume1/web/DB/000332,"/volume1/web/DB/Donaldson, Hornbeck (2016)_Railroads and American Economic Growth_A ???Market Access??? Approach_QJE_131(2)_799???858_en.pdf",/volume1/web/DB/Donaldson_Hornbeck2016_QJE_inChinese_20191213_pcn.pdf,2020-07-02 00:00:34.191366,1
000333,QJE2016-2018,20191203.0,C,賴孚權,,278.0,,"Kirkeboen, Leuven, Mogstad","Lars J. Kirkeboen, Edwin Leuven, Magne Mogstad",2016.0,"Field of Study, Earnings, and Self-Selection",Quarterly Journal of Economics,QJE,131(3),1057–1111,,,,,2019-12-11 00:00:00,2019-12-11 00:00:00,0,1.0,/volume1/web/DB/000333,"/volume1/web/DB/Kirkeboen, Leuven, Mogstad (2016)_Field of Study, Earnings, and Self-Selection_QJE_131(3)_1057???1111_en.pdf",/volume1/web/DB/Kirkeboen_Leuven_Mogstad2016_QJE_inChinese_20191211_pcn.pdf,2020-07-02 00:00:34.192089,1
000334,QJE2016-2018,20191203.0,C,賴孚權,,191.0,,"Finkelstein, Gentzkow, Williams","Amy Finkelstein, Matthew Gentzkow, Heidi Williams",2016.0,Sources of Geographic Variation in Health Care: Evidence From Patient Migration ,Quarterly Journal of Economics,QJE,131(4),1681–1726,,,,,2019-12-10 00:00:00,2019-12-10 00:00:00,0,1.0,/volume1/web/DB/000334,"/volume1/web/DB/Finkelstein, Gentzkow, Williams (2016)_Sources of Geographic Variation in Health Care_Evidence From Patient Migration_QJE_131(4)_1681???1726_en.pdf",/volume1/web/DB/Finkelstein_Gentzkow_Williams2016_QJE_inChinese_20191210_pcn.pdf,2020-07-02 00:00:34.188883,1
000335,QJE2016-2018,20191203.0,C,賴孚權,,1548.0,,"Bordalo, Coffman, Gennaioli, Shleifer","Pedro Bordalo, Katherine Coffman, Nicola Gennaioli, Andrei Shleifer",2016.0,Stereotypes,Quarterly Journal of Economics,QJE,131(4),1753–1794,,,,,2019-12-17 00:00:00,2019-12-17 00:00:00,0,1.0,/volume1/web/DB/000335,"/volume1/web/DB/Bordalo, Coffman, Gennaioli, Shleifer (2016)_Stereotypes_QJE_131(4)_1753???1794_en.pdf",/volume1/web/DB/Bordalo_Coffman_Gennaioli_Shleifer2016_QJE_inChinese_20191217_pcn.pdf,2020-07-02 00:00:34.191107,1
000336,JPE2016-2018,20191210.0,C,賴孚權,,92.0,,"Bailey, Cao, Kuchler, and Stroebel","Michael Bailey, Ruiqing Cao, Theresa Kuchler, and Johannes Stroebel",2018.0,The Economic Effects of Social Networks: Evidence from the Housing Market,Journal of Political Economy,JPE,126(6),2224-2276,,,,,2019-12-19 00:00:00,2019-12-19 00:00:00,0,1.0,/volume1/web/DB/000336,"/volume1/web/DB/Bailey, Cao,??Kuchler and??Stroebel (2018)_The Economic Effects of Social Networks_JPE_126(6)_2224-2276_en.pdf",/volume1/web/DB/Bailey_Cao_Kuchler_Stroebel2018_JPE_inChinese_20191219_pcn.pdf,2020-07-02 00:00:34.185704,1
000337,JPE2016-2018,20191210.0,C,賴孚權,,63.0,,DellaVigna and Pope,Stefano DellaVigna and Devin Pope,2018.0,Predicting Experimental Results: Who Knows What?,Journal of Political Economy,JPE,126(6),2410-2456,,,,,2019-12-24 00:00:00,2019-12-24 00:00:00,0,1.0,/volume1/web/DB/000337,/volume1/web/DB/DellaVigna??and Pope (2018)_Predicting Experimental Results_Who Knows What_JPE_126(6)_2410-2456_en.pdf,/volume1/web/DB/DellaVigna_Pope2018_JPE_inChinese_20191224_pcn.pdf,2020-07-02 00:00:34.190860,1
000338,JPE2016-2018,20191210.0,C,賴孚權,,4.0,,Todd and Wolpin,Petra Todd and Kenneth I. Wolpin,2018.0,Accounting for Mathematics Performance of High School Students in Mexico: Estimating a Coordination Game in the Classroom,Journal of Political Economy,JPE,126(6),2608-2650,,,,,2019-12-13 00:00:00,2019-12-13 00:00:00,0,1.0,/volume1/web/DB/000338,/volume1/web/DB/Todd??and??Wolpin (2018)_Accounting for Mathematics Performance_Estimating a Coordination Game in the Classroom_JPE_126(6)_2608-2650_en.pdf,/volume1/web/DB/Todd_Wolpin2018_JPE_inChinese_20191213_pcn.pdf,2020-07-02 00:00:34.185953,1
000339,JPE2016-2018,20191210.0,C,賴孚權,,37.0,,Board and Lu,Simon Board and Jay Lu,2018.0,Competitive Information Disclosure in Search Markets,Journal of Political Economy,JPE,126(5),1965-2010,,,,,2019-12-19 00:00:00,2019-12-19 00:00:00,0,1.0,/volume1/web/DB/000339,/volume1/web/DB/Board??and??Lu (2018)_Competitive Information Disclosure in Search Markets_JPE_126(5)_1965-2010_en.pdf,/volume1/web/DB/Board_Lu2018_JPE_inChinese_20191219_pcn.pdf,2020-07-02 00:00:34.185471,1
000340,JPE2016-2018,20191210.0,C,賴孚權,,127.0,,Jackson,C. Kirabo Jackson,2018.0,What Do Test Scores Miss? The Importance of Teacher Effects on Non–Test Score Outcomes,Journal of Political Economy,JPE,126(5),2072-2107,,,,,2019-12-17 00:00:00,2019-12-17 00:00:00,0,1.0,/volume1/web/DB/000340,/volume1/web/DB/Jackson (2018)_What Do Test Scores Miss The Importance of Teacher Effects on Non???Test Score Outcomes_JPE_126(5)_2072-2107_en.pdf,/volume1/web/DB/Jackson2018_JPE_inChinese_20191217_pcn.pdf,2020-07-02 00:00:34.186203,1
