流水號,文章來源或個人分類,加入日期,急迫程度,挑選文章的老師,NOTE,Citation,Citation Update,Author(s)-Last Name,Author(s) -Full Name,Year,Paper Name,Journal name,Journal Abbreviations,Vol.(No.),Page,Symposium,JEL code,keyword,PDF檔名,初稿完成日期,最近更新日期,全文,文章進度,資料夾link,原文link,中文link,check log,check,Unnamed: 29,已列印
000383,AER2016-2017 low citation,20200106,C,賴孚權,,111.0,,"Barto?, Bauer, Chytilov? and Mat?jka","Vojt?ch Barto?, Michal Bauer, Julie Chytilov? and Filip Mat?jka",2016.0,Attention Discrimination: Theory and Field Experiments with Monitoring Information Acquisition,American Economic Review,AER,106(6),1437-75,,,,,2020-01-20 00:00:00,2020-01-20 00:00:00,0,1.0,/volume1/web/DB/000383,/volume1/web/DB/000383/000383_en.pdf,/volume1/web/DB/Bartos_Bauer_Chytilova_Matejka2016_AER_inChinese_20200120_pcn.pdf,2020-10-03 00:00:04.507993,1,,
000384,AER2016-2017 low citation,20200106,C,賴孚權,,106.0,,"Bursztyn, Fujiwara and Pallais","Leonardo Bursztyn, Thomas Fujiwara and Amanda Pallais",2017.0,Acting Wife': Marriage Market Incentives and Labor Market Investments,American Economic Review,AER,107(11),3288-3319,,,,,2020-01-22 00:00:00,2020-01-22 00:00:00,0,1.0,/volume1/web/DB/000384,/volume1/web/DB/000384/000384_en.pdf,/volume1/web/DB/Bursztyn_Fujiwara_Pallais2017_AER_inChinese_20200122_pcn.pdf,2020-10-03 00:00:04.508191,1,,
000385,AER2016-2017 low citation,20200106,C,賴孚權,,88.0,,Gorodnichenko and Talavera,Yuriy Gorodnichenko and Oleksandr Talavera,2017.0,"Price Setting in Online Markets: Basic Facts, International Comparisons, and Cross-Border Integration",American Economic Review,AER,107(1),249-82,,,,,2020-02-04 00:00:00,2020-02-04 00:00:00,0,1.0,/volume1/web/DB/000385,/volume1/web/DB/000385/000385_en.pdf,/volume1/web/DB/Gorodnichenko_Talavera2017_AER_inChinese_20200204_pcn.pdf,2020-10-03 00:00:04.508403,1,,
000386,AER2016-2017 low citation,20200106,C,賴孚權,,89.0,,"Hurst, Keys, Seru and Vavra","Erik Hurst, Benjamin J. Keys, Amit Seru and Joseph Vavra",2016.0,Regional Redistribution through the US Mortgage Market,American Economic Review,AER,106(10),2982-3028,,,,,2020-01-30 00:00:00,2020-01-30 00:00:00,0,1.0,/volume1/web/DB/000386,/volume1/web/DB/000386/000386_en.pdf,/volume1/web/DB/Hurst_Keys_Seru_Vavra2016_AER_inChinese_20200130_pcn.pdf,2020-10-03 00:00:04.508600,1,,
000387,AER2016-2017 low citation,20200106,C,賴孚權,,79.0,,Hornbeck and Keniston,Richard Hornbeck and Daniel Keniston,2017.0,Creative Destruction: Barriers to Urban Growth and the Great Boston Fire of 1872,American Economic Review,AER,107(6),1365-98,,,,,2020-01-30 00:00:00,2020-01-30 00:00:00,0,1.0,/volume1/web/DB/000387,/volume1/web/DB/000387/000387_en.pdf,/volume1/web/DB/Hornbeck_Keniston2017_AER_inChinese_20200130_pcn.pdf,2020-10-03 00:00:04.508810,1,,
000388,AER2016-2017 low citation,20200106,C,賴孚權,,70.0,,"Bettinger, Fox, Loeb and Taylor","Eric P. Bettinger, Lindsay Fox, Susanna Loeb and Eric S. Taylor",2017.0,Virtual Classrooms: How Online College Courses Affect Student Success,American Economic Review,AER,107(9),2855-75,,,,,2020-01-30 00:00:00,2020-01-30 00:00:00,0,1.0,/volume1/web/DB/000388,/volume1/web/DB/000388/000388_en.pdf,/volume1/web/DB/Bettinger_Fox_Loeb_Taylor2017_AER_inChinese_20200130_pcn.pdf,2020-10-03 00:00:04.509013,1,,
000389,AER2016-2017 low citation,20200106,C,賴孚權,,29.0,,"Cherchye, Demuynck, Rock and Vermeulen","Laurens Cherchye, Thomas Demuynck, Bram De Rock and Frederic Vermeulen",2017.0,Household Consumption When the Marriage Is Stable,American Economic Review,AER,107(6),1507-34,,,,,2020-02-03 00:00:00,2020-02-03 00:00:00,0,1.0,/volume1/web/DB/000389,/volume1/web/DB/000389/000389_en.pdf,/volume1/web/DB/Cherchye_Demuynck_Rock_Vermeulen2017_AER_inChinese_20200203_pcn.pdf,2020-10-03 00:00:04.509218,1,,
000390,AER2016-2017 low citation,20200106,C,賴孚權,,29.0,,"Nishimura, Ok and Quah","Hiroki Nishimura, Efe A. Ok and John K.-H. Quah",2017.0,A Comprehensive Approach to Revealed Preference Theory,American Economic Review,AER,107(4),1239-63,,,,,2020-02-03 00:00:00,2020-02-03 00:00:00,0,1.0,/volume1/web/DB/000390,/volume1/web/DB/000390/000390_en.pdf,/volume1/web/DB/Nishimura_Ok_Quah2017_AER_inChinese_20200203_pcn.pdf,2020-10-03 00:00:04.509414,1,,
000391,AER2016-2017 low citation,20200106,C,賴孚權,,28.0,,"Al-Ubaydli, List and Suskind","Omar Al-Ubaydli, John A. List and Dana L. Suskind",2017.0,What Can We Learn from Experiments? Understanding the Threats to the Scalability of Experimental Results,American Economic Review,AER,107(5),282-86,LEARNING FROM DATA IN ECONOMICS,,,,2020-02-03 00:00:00,2020-02-03 00:00:00,1,1.0,/volume1/web/DB/000391,/volume1/web/DB/000391/000391_en.pdf,/volume1/web/DB/Al-Ubaydli_List_Suskind2017_AER_inChinese_20200203_fcn.pdf,2020-10-03 00:00:04.509610,1,,
000392,AER2016-2017 low citation,20200106,C,賴孚權,,22.0,,Lemley and Feldman,Mark A. Lemley and Robin Feldman,2016.0,"Patent Licensing, Technology Transfer, and Innovation",American Economic Review,AER,106(5),188-92,THE DESIGN AND USE OF PATENTS,,,,2020-02-03 00:00:00,2020-02-03 00:00:00,1,1.0,/volume1/web/DB/000392,/volume1/web/DB/000392/000392_en.pdf,/volume1/web/DB/Lemley_Feldman2016_AER_inChinese_20200203_fcn.pdf,2020-10-03 00:00:04.509806,1,,
000393,AER2016-2017 low citation,20200106,C,賴孚權,,20.0,,Ellison and Swanson,Glenn Ellison and Ashley Swanson,2016.0,Do Schools Matter for High Math Achievement? Evidence from the American Mathematics Competitions,American Economic Review,AER,106(6),1244-77,,,,,2020-02-04 00:00:00,2020-02-04 00:00:00,0,1.0,/volume1/web/DB/000393,/volume1/web/DB/000393/000393_en.pdf,/volume1/web/DB/Ellison_Swanson2016_AER_inChinese_20200204_pcn.pdf,2020-10-03 00:00:04.510007,1,,
000394,AER2016-2017 low citation,20200106,C,賴孚權,,22.0,,Scheuer and Wolitzky,Florian Scheuer and Alexander Wolitzky,2016.0,Capital Taxation under Political Constraints,American Economic Review,AER,106(8),2304-28,,,,,2020-02-04 00:00:00,2020-02-04 00:00:00,0,1.0,/volume1/web/DB/000394,/volume1/web/DB/000394/000394_en.pdf,/volume1/web/DB/Scheuer_Wolitzky2016_AER_inChinese_20200204_pcn.pdf,2020-10-03 00:00:04.510208,1,,
000395,AER2016-2017 low citation,20200106,C,賴孚權,,15.0,,Schneider,Henry S. Schneider,2016.0,The Bidder's Curse: Comment,American Economic Review,AER,106(4),1182-94,,,,,2020-02-04 00:00:00,2020-02-04 00:00:00,0,1.0,/volume1/web/DB/000395,/volume1/web/DB/000395/000395_en.pdf,/volume1/web/DB/Schneider2016_AER_inChinese_20200204_pcn.pdf,2020-10-03 00:00:04.510403,1,,
000396,AER2016-2017 low citation,20200106,C,賴孚權,,13.0,,Engbom and Moser,Niklas Engbom and Christian Moser,2017.0,Returns to Education through Access to Higher-Paying Firms: Evidence from US Matched Employer-Employee Data,American Economic Review,AER,107(5),374-78,INCOME INEQUALITY WITHIN AND ACROSS FIRMS,,,,2020-02-04 00:00:00,2020-02-04 00:00:00,0,1.0,/volume1/web/DB/000396,/volume1/web/DB/000396/000396_en.pdf,/volume1/web/DB/Engbom_Moser2017_AER_inChinese_20200204_pcn.pdf,2020-10-03 00:00:04.510598,1,,
000397,AER2016-2017 low citation,20200106,C,賴孚權,,3.0,,Malmendier,Ulrike Malmendier,2016.0,The Bidder's Curse: Reply,American Economic Review,AER,106(4),1195-1213,,,,,2020-02-04 00:00:00,2020-02-04 00:00:00,0,1.0,/volume1/web/DB/000397,/volume1/web/DB/000397/000397_en.pdf,/volume1/web/DB/Malmendier2016_AER_inChinese_20200204_pcn.pdf,2020-10-03 00:00:04.507364,1,,
000398,FC,20200114,A,賴孚權,,493.0,,"Acquisti, Taylor, and Wagman","Alessandro Acquisti, Curtis Taylor, and Liad Wagman",2016.0,The Economics of Privacy,Journal of Economic Literature,JEL,54(2),442-92,,"D82, D83, G20, I10, L13, M31, M37",0,,2020-01-20 00:00:00,2020-01-20 00:00:00,1,1.0,/volume1/web/DB/000398,/volume1/web/DB/000398/000398_en.pdf,/volume1/web/DB/Acquisti_Taylor_Wagman2016_JEL_inChinese_20200120_fcn.pdf,2020-10-03 00:00:04.376556,1,,
000399,FC,20200116,A,賴孚權,,51.0,,Slemrod,Joel Slemrod,2019.0,Tax Compliance and Enforcement,Journal of Economic Literature,JEL,57 (4),904-54,,,,,2020-01-15 00:00:00,2020-01-15 00:00:00,1,1.0,/volume1/web/DB/000399,/volume1/web/DB/000399/000399_en.pdf,/volume1/web/DB/Slemrod2019_JEL_inChinese_20200115_fcn.pdf,2020-10-03 00:00:04.377214,1,,
000400,2019 new,20200205,C,賴孚權,,7.0,,"Marquina,?Niederle?and Vespa","Alejandro?Mart?nez-Marquina,?Muriel?Niederle?and?Emanuel?Vespa",2019.0,Failures in Contingent Reasoning: The Role of Uncertainty,American Economic Review,AER,109(10),3437-3474,,,,,,,0,0.0,/volume1/web/DB/000400,/volume1/web/DB/000400/000400_en.pdf,,2020-10-03 00:00:04.553964,1,,
000401,2019 new,20200205,C,賴孚權,,29.0,,Rotemberg,Martin?Rotemberg,2019.0,Equilibrium Effects of Firm Subsidies,American Economic Review,AER,109(10),3475-3513,,,,,2020-02-06 00:00:00,2020-02-06 00:00:00,0,1.0,/volume1/web/DB/000401,/volume1/web/DB/000401/000401_en.pdf,/volume1/web/DB/Rotemberg2019_AER_inChinese_20200206_pcn.pdf,2020-10-03 00:00:04.554157,1,,
000402,2019 new,20200205,C,賴孚權,,137.0,,Kaur,Supreet?Kaur,2019.0,Nominal Wage Rigidity in Village Labor Markets,American Economic Review,AER,109(10),3585-3616,,,,,2020-02-07 00:00:00,2020-02-07 00:00:00,0,1.0,/volume1/web/DB/000402,/volume1/web/DB/000402/000402_en.pdf,/volume1/web/DB/Kaur2019_AER_inChinese_20200207_pcn.pdf,2020-10-03 00:00:04.554372,1,,
000403,2019 new,20200205,C,賴孚權,,41.0,,Giroud?and Mueller,Xavier?Giroud?and?Holger M.?Mueller,2019.0,Firms' Internal Networks and Local Economic Shocks,American Economic Review,AER,109(10),3617-3649,,,,,2020-02-07 00:00:00,2020-02-07 00:00:00,0,1.0,/volume1/web/DB/000403,/volume1/web/DB/000403/000403_en.pdf,/volume1/web/DB/Giroud_Mueller2019_AER_inChinese_20200207_pcn.pdf,2020-10-03 00:00:04.554573,1,,
000404,2019 new,20200205,C,賴孚權,,14.0,,Frankel?and Kamenica,Alexander?Frankel?and?Emir?Kamenica,2019.0,Quantifying Information and Uncertainty,American Economic Review,AER,109(10),3650-3680,,,,,,,0,0.0,/volume1/web/DB/000404,/volume1/web/DB/000404/000404_en.pdf,,2020-10-03 00:00:04.554704,1,,
000405,2019 new,20200205,C,賴孚權,,7.0,,Fornaro?and Romei,Luca?Fornaro?and?Federica?,2019.0,The Paradox of Global Thrift,American Economic Review,AER,109(11),3745-3779,,,,,2020-02-07 00:00:00,2020-02-07 00:00:00,0,1.0,/volume1/web/DB/000405,/volume1/web/DB/000405/000405_en.pdf,/volume1/web/DB/Fornaro_Romei2019_AER_inChinese_20200207_pcn.pdf,2020-10-03 00:00:04.554907,1,,
000406,2019 new,20200205,C,賴孚權,,106.0,,Fetzer,Thiemo?Fetzer,2019.0,Did Austerity Cause Brexit?,American Economic Review,AER,109(11),3849-3886,,,,,2020-02-10 00:00:00,2020-02-10 00:00:00,0,1.0,/volume1/web/DB/000406,/volume1/web/DB/000406/000406_en.pdf,/volume1/web/DB/Fetzer2019_AER_inChinese_20200210_pcn.pdf,2020-10-03 00:00:04.556185,1,,
000407,2019 new,20200205,C,賴孚權,,72.0,,B??and ?Fr?chette,Pedro?Dal B??and?Guillaume R.?Fr?chette,2019.0,Strategy Choice in the Infinitely Repeated Prisoner's Dilemma,American Economic Review,AER,109(11),3929-3952,,,,,2020-02-10 00:00:00,2020-02-10 00:00:00,0,1.0,/volume1/web/DB/000407,/volume1/web/DB/000407/000407_en.pdf,/volume1/web/DB/Bo_Frechette2019_AER_inChinese_20200210_pcn.pdf,2020-10-03 00:00:04.556401,1,,
000408,2019 new,20200205,C,賴孚權,,74.0,,"Borenstein,??Bushnell,?Wolak?and Watkins","Severin?Borenstein,?James?Bushnell,?Frank A.?Wolak?and?Matthew?Zaragoza-Watkins",2019.0,Expecting the Unexpected: Emissions Uncertainty and Environmental Market Design,American Economic Review,AER,109(11),3953-3977,,,,,2020-02-11 00:00:00,2020-02-11 00:00:00,0,1.0,/volume1/web/DB/000408,/volume1/web/DB/000408/000408_en.pdf,/volume1/web/DB/Borenstein_Bushnell_Wolak_Watkins2019_AER_inChinese_20200211_pcn.pdf,2020-10-03 00:00:04.556608,1,,
000409,2019 new,20200205,C,賴孚權,,18.0,,"Agarwal,?Ashlagi,??Azevedo,?Featherstone?and Karaduman","Nikhil?Agarwal,?Itai?Ashlagi,?Eduardo?Azevedo,?Clayton R.?Featherstone?and??mer?Karaduman",2019.0,Market Failure in Kidney Exchange,American Economic Review,AER,109(11),4026-4070,,,,,2020-02-11 00:00:00,2020-02-11 00:00:00,0,1.0,/volume1/web/DB/000409,/volume1/web/DB/000409/000409_en.pdf,/volume1/web/DB/Agarwal_Ashlagi_Azevedo_Featherstone_Karaduman2019_AER_inChinese_20200211_pcn.pdf,2020-10-03 00:00:04.556813,1,,
000410,2019 new,20200205,C,賴孚權,,47.0,,"Alsan,?Garrick?and?Graziani","Marcella?Alsan,?Owen?Garrick?and?Grant?Graziani",2019.0,Does Diversity Matter for Health? Experimental Evidence from Oakland,American Economic Review,AER,109(12),4071-4111,,,,,2020-02-11 00:00:00,2020-02-11 00:00:00,0,1.0,/volume1/web/DB/000410,/volume1/web/DB/000410/000410_en.pdf,/volume1/web/DB/Alsan_Garrick_Graziani2019_AER_inChinese_20200211_pcn.pdf,2020-10-03 00:00:04.557017,1,,
000411,2019 new,20200205,C,賴孚權,,11.0,,Traiberman,Sharon?Traiberman,2019.0,Occupations and Import Competition: Evidence from Denmark,American Economic Review,AER,109(12),4260-4301,,,,,2020-02-12 00:00:00,2020-02-12 00:00:00,0,1.0,/volume1/web/DB/000411,/volume1/web/DB/000411/000411_en.pdf,/volume1/web/DB/Traiberman2019_AER_inChinese_20200212_pcn.pdf,2020-10-03 00:00:04.557227,1,,
000412,2019 new,20200205,C,賴孚權,,30.0,,"Horta?su,?Luco,?Puller?and Zhu","Ali?Horta?su,?Fernando?Luco,?Steven L.?Puller?and?Dongni?Zhu",2019.0,Does Strategic Ability Affect Efficiency? Evidence from Electricity Markets,American Economic Review,AER,109(12),4302-4342,,,,,2020-02-06 00:00:00,2020-02-06 00:00:00,0,1.0,/volume1/web/DB/000412,/volume1/web/DB/000412/000412_en.pdf,/volume1/web/DB/Hortacsu_Luco_Puller_Zhu2019_AER_inChinese_20200206_pcn.pdf,2020-10-03 00:00:04.557435,1,,
000413,2019 new,20200205,C,賴孚權,,549.0,,Marcet and Marimon,Albert Marcet and Ramon Marimon,2019.0,Recursive Contracts,Econometrica,Econometrica,87(5),1589-1631,,,,,,,0,0.0,/volume1/web/DB/000413,/volume1/web/DB/000413/000413_en.pdf,,2020-10-03 00:00:04.557561,1,,
000414,2019 new,20200205,C,賴孚權,,31.0,,"Fleiner, Jagadeesan, Jank? and Teytelboym","Tam?s Fleiner, Ravi Jagadeesan, Zsuzsanna Jank? and Alexander Teytelboym",2019.0,Trading Networks With Frictions,Econometrica,Econometrica,87(5),1633-1661,,,,,2020-02-11 00:00:00,2020-02-11 00:00:00,0,1.0,/volume1/web/DB/000414,/volume1/web/DB/000414/000414_en.pdf,/volume1/web/DB/Fleiner_Jagadeesan_Janko_Teytelboym2019_Econometrica_inChinese_20200211_pcn.pdf,2020-10-03 00:00:04.555109,1,,
000415,2019 new,20200205,C,賴孚權,,2.0,,Gr?ner and Tr?ger,Hans Peter Gr?ner and Thomas Tr?ger,2019.0,Linear Voting Rules,Econometrica,Econometrica,87(6),2037-2077,,,,,,,0,0.0,/volume1/web/DB/000415,/volume1/web/DB/000415/000415_en.pdf,,2020-10-03 00:00:04.555246,1,,
000416,2019 new,20200205,C,賴孚權,,68.0,,Dworczak?and?Martini,Piotr Dworczak?and?Giorgio Martini,2019.0,The Simple Economics of Optimal Persuasion,Journal of Political Economy,JPE,127(5),1993-2048,,,,,,,0,0.0,/volume1/web/DB/000416,/volume1/web/DB/000416/000416_en.pdf,,2020-10-03 00:00:04.555371,1,,
000417,2019 new,20200205,C,賴孚權,,27.0,,Chassang?and Ortner,Sylvain Chassang?and?Juan Ortner,2019.0,Collusion in Auctions with Constrained Bids: Theory and Evidence from Public Procurement,Journal of Political Economy,JPE,127(5),2269-2300,,,,,2020-02-11 00:00:00,2020-02-11 00:00:00,0,1.0,/volume1/web/DB/000417,/volume1/web/DB/000417/000417_en.pdf,/volume1/web/DB/Chassang_Ortner2019_JPE_inChinese_20200211_pcn.pdf,2020-10-03 00:00:04.555574,1,,
000418,2019 new,20200205,C,賴孚權,,32.0,,Che?and Tercieux,Yeon-Koo Che?and?Olivier Tercieux,2019.0,Efficiency and Stability in Large Matching Markets,Journal of Political Economy,JPE,127(5),2301-2342,,,,,2020-02-12 00:00:00,2020-02-12 00:00:00,0,1.0,/volume1/web/DB/000418,/volume1/web/DB/000418/000418_en.pdf,/volume1/web/DB/Che_Tercieux2019_JPE_inChinese_20200212_pcn.pdf,2020-10-03 00:00:04.555771,1,,
000419,2019 new,20200205,C,賴孚權,,26.0,,Delavande?and Zafar,Adeline Delavande?and?Basit Zafar,2019.0,"University Choice: The Role of Expected Earnings, Nonpecuniary Outcomes, and Financial Constraints",Journal of Political Economy,JPE,127(5),2343-2393,,,,,2020-02-14 00:00:00,2020-02-14 00:00:00,0,1.0,/volume1/web/DB/000419,/volume1/web/DB/000419/000419_en.pdf,/volume1/web/DB/Delavande_Zafar2019_JPE_inChinese_20200214_pcn.pdf,2020-10-03 00:00:04.555978,1,,
000420,2019 new,20200205,C,賴孚權,,30.0,,L?pez?and Vives,?ngel L. L?pez?and?Xavier Vives,2019.0,"Overlapping Ownership, R&D Spillovers, and Antitrust Policy",Journal of Political Economy,JPE,127(5),2394-2437,,,,,,,0,0.0,/volume1/web/DB/000420,/volume1/web/DB/000420/000420_en.pdf,,2020-10-03 00:00:04.559465,1,,
000421,2019 new,20200205,C,賴孚權,,6.0,,Maasoumi?and Wang,Esfandiar Maasoumi?and?Le Wang,2019.0,The Gender Gap between Earnings Distributions,Journal of Political Economy,JPE,127(5),2438-2504,,,,,2020-02-14 00:00:00,2020-02-14 00:00:00,0,1.0,/volume1/web/DB/000421,/volume1/web/DB/000421/000421_en.pdf,/volume1/web/DB/Maasoumi_Wang2019_JPE_inChinese_20200214_pcn.pdf,2020-10-03 00:00:04.559659,1,,
000422,2019 new,20200205,C,賴孚權,,159.0,,"Abbott, Gallipoli, Meghir and?Violante","Brant Abbott,?Giovanni Gallipoli,?Costas Meghir, and?Giovanni L. Violante",2019.0,Education Policy and Intergenerational Transfers in Equilibrium,Journal of Political Economy,JPE,127(6),2569-2624,,,,,2020-02-17 00:00:00,2020-02-17 00:00:00,0,1.0,/volume1/web/DB/000422,/volume1/web/DB/000422/000422_en.pdf,/volume1/web/DB/Abbott_Gallipoli_Meghir_Violante2019_JPE_inChinese_20200217_pcn.pdf,2020-10-03 00:00:04.559857,1,,
000423,2019 new,20200205,C,賴孚權,,110.0,,"Chen,?Chevalier,?Rossi and Oehlsen","M. Keith Chen,?Judith A. Chevalier,?Peter E. Rossi, and?Emily Oehlsen",2019.0,The Value of Flexible Work: Evidence from Uber Drivers,Journal of Political Economy,JPE,127(6),2735-2794,,,,,2020-02-17 00:00:00,2020-02-17 00:00:00,0,1.0,/volume1/web/DB/000423,/volume1/web/DB/000423/000423_en.pdf,/volume1/web/DB/Chen_Chevalier_Rossi_Oehlsen2019_JPE_inChinese_20200217_pcn.pdf,2020-10-03 00:00:04.560055,1,,
000424,2019 new,20200205,C,賴孚權,,134.0,,"Eika,?Mogstad and?Zafar","Lasse Eika,?Magne Mogstad, and?Basit Zafar",2019.0,Educational Assortative Mating and Household Income Inequality,Journal of Political Economy,JPE,127(6),2795-2835,,,,,2020-02-17 00:00:00,2020-02-17 00:00:00,0,1.0,/volume1/web/DB/000424,/volume1/web/DB/000424/000424_en.pdf,/volume1/web/DB/Eika_Mogstad_Zafar2019_JPE_inChinese_20200217_pcn.pdf,2020-10-03 00:00:04.560293,1,,
000425,2019 new,20200205,C,賴孚權,,15.0,,Loertscher?and?Marx,Simon Loertscher?and?Leslie M. Marx,2019.0,Merger Review for Markets with Buyer Power,Journal of Political Economy,JPE,127(6),2967-3017,,,,,2020-02-18 00:00:00,2020-02-18 00:00:00,0,1.0,/volume1/web/DB/000425,/volume1/web/DB/000425/000425_en.pdf,/volume1/web/DB/Loertscher_Marx2019_JPE_inChinese_20200218_pcn.pdf,2020-10-03 00:00:04.560512,1,,
000426,2019 new,20200205,C,賴孚權,,7.0,,Rey?and?Tirole,Patrick Rey?and?Jean Tirole,2019.0,Price Caps as Welfare-Enhancing Coopetition,Journal of Political Economy,JPE,127(6),3018-3069,,,,,2020-02-18 00:00:00,2020-02-18 00:00:00,0,1.0,/volume1/web/DB/000426,/volume1/web/DB/000426/000426_en.pdf,/volume1/web/DB/Rey_Tirole2019_JPE_inChinese_20200218_pcn.pdf,2020-10-03 00:00:04.560714,1,,
000427,2019 new,20200205,C,賴孚權,,27.0,,"Allcott,?Diamond,?Dub?,?Handbury,?Rahkovsky?and Schnell","Hunt Allcott,?Rebecca Diamond,?Jean-Pierre Dub?,?Jessie Handbury,?Ilya Rahkovsky,?Molly Schnell",2019.0,Food Deserts and the Causes of Nutritional Inequality,Quarterly Journal of Economics,QJE,134(4),1793–1844,,,,,2020-02-19 00:00:00,2020-02-19 00:00:00,0,1.0,/volume1/web/DB/000427,/volume1/web/DB/000427/000427_en.pdf,/volume1/web/DB/Allcott_Diamond_Dube_Handbury_Rahkovsky_Schnell2019_QJE_inChinese_20200219_pcn.pdf,2020-10-03 00:00:04.560926,1,,
000428,2019 new,20200205,C,賴孚權,,42.0,,Liu,Ernest Liu,2019.0,Industrial Policies in Production Networks?,Quarterly Journal of Economics,QJE,134(4),1883–1948,,,,,2020-02-19 00:00:00,2020-02-19 00:00:00,0,1.0,/volume1/web/DB/000428,/volume1/web/DB/000428/000428_en.pdf,/volume1/web/DB/Liu2019_QJE_inChinese_20200219_pcn.pdf,2020-10-03 00:00:04.557757,1,,
000429,2019 new,20200205,C,賴孚權,,122.0,,DellaVigna and?Gentzkow,"Stefano DellaVigna,?Matthew Gentzkow",2019.0,Uniform Pricing in U.S. Retail Chains?,Quarterly Journal of Economics,QJE,134(4),2011–2084,,,,,2020-02-19 00:00:00,2020-02-19 00:00:00,0,1.0,/volume1/web/DB/000429,/volume1/web/DB/000429/000429_en.pdf,/volume1/web/DB/DellaVigna_Gentzkow2019_QJE_inChinese_20200219_pcn.pdf,2020-10-03 00:00:04.557956,1,,
000430,2019 new,20200205,C,賴孚權,,228.0,,"Benson,?Li and Shue","Alan Benson,?Danielle Li,?Kelly Shue",2019.0,Promotions and the Peter Principle,Quarterly Journal of Economics,QJE,134(4),2085–2134,,,,,2020-02-19 00:00:00,2020-02-19 00:00:00,0,1.0,/volume1/web/DB/000430,/volume1/web/DB/000430/000430_en.pdf,/volume1/web/DB/Benson_Li_Shue2019_QJE_inChinese_20200219_pcn.pdf,2020-10-03 00:00:04.558165,1,,
000431,2019 new,20200205,C,賴孚權,,2.0,,Nguyen and Tan,"Anh Nguyen, Teck Yong Tan",2019.0,Information control in the hold?up problem,RAND Journal of Economics,RAND,50(4),768-786,,,,,2020-02-19 00:00:00,2020-02-19 00:00:00,0,1.0,/volume1/web/DB/000431,/volume1/web/DB/000431/000431_en.pdf,/volume1/web/DB/Nguyen_Tan2019_RAND_inChinese_20200219_pcn.pdf,2020-10-03 00:00:04.558388,1,,
000432,2019 new,20200205,C,賴孚權,,,,Rochet and Thanassoulis,"Jean?Charles Rochet, John Thanassoulis",2019.0,Intertemporal price discrimination with two products,RAND Journal of Economics,RAND,50(4),951-973,,,,,2020-02-20 00:00:00,2020-02-20 00:00:00,0,1.0,/volume1/web/DB/000432,/volume1/web/DB/000432/000432_en.pdf,/volume1/web/DB/Rochet_Thanassoulis2019_RAND_inChinese_20200220_pcn.pdf,2020-10-03 00:00:04.558585,1,,
000433,2019 new,20200205,C,賴孚權,,15.0,,"Ahn,?Iijima, Yaouanq and Sarver","David S Ahn,?Ryota Iijima,?Yves Le Yaouanq,?Todd Sarver",2019.0,Behavioural Characterizations of Naivete for Time-Inconsistent Preferences?,Review of Economic Studies,RES,86(6),2319–2355,,,,,,,0,0.0,/volume1/web/DB/000433,/volume1/web/DB/000433/000433_en.pdf,,2020-10-03 00:00:04.558716,1,,
000434,2019 new,20200205,C,賴孚權,,47.0,,"Bailey,?D?vila,?Kuchler and?Stroebel","Michael Bailey,?Eduardo D?vila,?Theresa Kuchler,?Johannes Stroebel",2019.0,House Price Beliefs And Mortgage Leverage Choice,Review of Economic Studies,RES,86(6),2403–2452,,,,,2020-02-20 00:00:00,2020-02-20 00:00:00,0,1.0,/volume1/web/DB/000434,/volume1/web/DB/000434/000434_en.pdf,/volume1/web/DB/Bailey_Davila_Kuchler_Stroebel2019_RES_inChinese_20200220_pcn.pdf,2020-10-03 00:00:04.558914,1,,
000435,2019 new,20200205,C,賴孚權,,45.0,,"Banerjee,?Chandrasekhar,?Duflo and Jackson","Abhijit Banerjee,?Arun G Chandrasekhar,?Esther Duflo,?Matthew O Jackson",2019.0,Using Gossips to Spread Information: Theory and Evidence from Two Randomized Controlled Trials?,Review of Economic Studies,RES,86(6),2453–2490,,,,,2020-02-21 00:00:00,2020-02-21 00:00:00,0,1.0,/volume1/web/DB/000435,/volume1/web/DB/000435/000435_en.pdf,/volume1/web/DB/Banerjee_Chandrasekhar_Duflo_Jackson2019_RES_inChinese_20200221_pcn.pdf,2020-10-03 00:00:04.559116,1,,
000436,2019 new,20200205,C,賴孚權,,14.0,,Rodrigues,Eduardo Souza-Rodrigues,2019.0,Deforestation in the Amazon: A Unified Framework for Estimation and Policy Analysis,Review of Economic Studies,RES,86(6),2713–2744,,,,,2020-02-21 00:00:00,2020-02-21 00:00:00,0,1.0,/volume1/web/DB/000436,/volume1/web/DB/000436/000436_en.pdf,/volume1/web/DB/Rodrigues2019_RES_inChinese_20200221_pcn.pdf,2020-10-03 00:00:04.559336,1,,
000437,JEL2019,20200210,C,賴孚權,,127.0,,Benhabib and Bisin,Jess Benhabib and Alberto Bisin,2018.0,Skewed Wealth Distributions: Theory and Empirics,Jouranl of Economic Literature,JEL,56(4),1261-91,,,,,,,0,0.0,/volume1/web/DB/000437,/volume1/web/DB/000437/000437_en.pdf,,2020-10-03 00:00:04.561660,1,,
