流水號,文章來源或個人分類,加入日期,急迫程度,挑選文章的老師,NOTE,Author(s)-Last Name,Author(s) -Full Name,Year,Paper Name,Journal name,Journal Abbreviations,Vol.(No.),Page,Symposium,JEL code,keyword,PDF檔名,初稿完成日期,最近更新日期,全文,文章進度,資料夾link,原文link,中文link,check log,check
000131,NE seminar,20190901,D,,,Hagiu and Lee,Hagiu and Lee,2011,Exclusivity and Control,Journal of Economics & Management Strategy,JEManageStrat,20(3),679–708,,,,"112. Hagiu and Lee(2011)_Exclusivity and Control_Journal of Economics & Management Strategy, Volume 20, Number 3, Fall 2011, 679–708",,,0,0.0,/volume1/web/DB/000131,"/volume1/web/DB/112. Hagiu and Lee(2011)_Exclusivity and Control_Journal of Economics & Management Strategy, Volume 20, Number 3, Fall 2011, 679???708_en.pdf",,2020-01-15 18:33:56.712774,1
000132,NE seminar_priority,20190901,,陳嘉雯,,"Einav, Finkelstein and Mahoney","Liran Einav, Amy Finkelstein and Neale Mahoney",2018,Provider Incentives and Healthcare Costs: Evidence From Long‐Term Care Hospitals,Econometrica,Econometrica,86(6),2161-2219,,,"Healthcare, Post-Acute Care, Financial Incentives, Nonlinear Contracts","Einav ,Finkelstein, Mahon (2018)_Provider Incentives and Health Care Costs - Evidence from Long-Term Care Hospitals_Econometrica 86(6), 2161-2219",,,0,2.0,,,,,0
000133,NE seminar_priority,20190901,,,,Ishihara,Akifumi Ishihara,2017,Relational Contracting and Endogenous Formation of Teamwork,RAND Journal of Economics,RAND,48(2),335-357,,,,"23. Ishihara (2017)_Relational Contracting and Endogenous Formation of Teamwork_RAND Journal of Economics 48(2), 335-357",,,0,1.0,,,,,0
000134,"AER2018, NE seminar_priority",20190901,,陳為政,要全翻,Choi and Spier,Albert H. Choi and Kathryn E. Spier,2018,Taking a Financial Position in Your Opponent in Litigation,American Economic Review,AER,108(12),3626-3650,,"D82, G14, K41",,"Choi and Spier (2018)_Taking a Financial Position in Your Opponent in Litigation_AER 108(12), 3626-3650",,,0,2.0,,,,,0
000135,FCLai_New Attention,20190902,,賴孚權,,Hu & Li,"Lin Hu, Anqi Li",2019,The Politics of Attention,Working Paper,WorkingPaper,,1-63,," D72, D80",,"Hu and Li (2019)_The Politics of Attention_Working Paper, 1-63",,,0,2.0,,,,,0
000136,FCLai_New Attention,20190902,,賴孚權,,Lin,Song Lin,2019,Two-Sided Price Discrimination by Media Platforms,Working Paper,WorkingPaper,,1-55,,,"Price discrimination, two-sided market, platform design, media pricing, advertising, ad avoidance, targeting","Lin (2019)_Two-Sided Price Discrimination by Media Platforms_Working Paper, 1-55",,,0,1.0,,,,,0
000137,FCLai_New Attention,20190902,,賴孚權,,Prat & Valletti,"Andrea Prat, Tommaso Valletti",2019,Attention Oligopoly,Working Paper,WorkingPaper,,1-38,,,,"Prat and Valletti (2019)_Attention Oligopoly_Working Paper, 1-38",,,0,2.0,,,,,0
000138,FCLai_New Attention,20190902,,賴孚權,,Webste & Ksiaze,James G. Webster & Thomas B. Ksiazek,2012,The Dynamics of Audience Fragmentation: Public Attention in an Age of Digital Media,Journal of Communication,Jcommun,62,39-56,,,,"Webster and Ksiazek (2012)_The Dynamics of Audience Fragmentation_Journal of Communication 62, 39-56",,,0,2.0,,,,,0
000139,Excellent J 2019,20190911,,賴孚權,,"Agrawal, Gans and Goldfarb","Ajay Agrawal, Joshua S. Gans and Avi Goldfarb",2019,Artificial Intelligence: The Ambiguous Labor Market Impact of Automating Prediction,Journal of Economic Perspectives,JEPerspectives,33(2),31-50,Automation and employment,,,,,,0,0.0,,,,,0
000140,Excellent J 2019,20190911,,,,"Allcott, Lockwood and Taubinsky","Hunt Allcott, Benjamin B. Lockwood and Dmitry Taubinsky",2019,Should We Tax Sugar-Sweetened Beverages? An Overview of Theory and Evidence,Journal of Economic Perspectives,JEPerspectives,33(3),202-27,Articles,,,,,,0,1.0,,,,,0
000141,Excellent J 2019,20190911,,,,"Allcott, Lockwood, Taubinsky","Hunt Allcott, Benjamin B Lockwood, Dmitry Taubinsky",2019,"Regressive Sin Taxes, with an Application to the Optimal Soda Tax ",Quarterly Journal of Economics,QJE,134(3),1557–1626,,,,,,,0,1.0,,,,,0
000142,Excellent J 2019,20190911,,,,"Allen, Clark, and Houde","Jason Allen, Robert Clark, and Jean-François Houde",2019,Search Frictions and Market Power in Negotiated-Price Markets,Journal of Political Economy,JPE,127(4),1550-1598,,,,,,,0,1.0,,,,,0
000143,Excellent J 2019,20190911,,,,"Alstadsæter, Johannesen and Zucman","Annette Alstadsæter, Niels Johannesen and Gabriel Zucman",2019,Tax Evasion and Inequality,American Economic Review,AER,109(6),2073-2103,,"D31, H24, H26, K34",0,"Alstadsæter, Johannesen and Zucman (2019)_Tax Evasion and Inequality_AER 109(6) 2073-2103",,,0,1.0,,,,,0
000144,Excellent J 2019,20190911,,,黃景沂老師可能有興趣?,"Anderson, Paddrik and Wang","Haelim Anderson, Mark Paddrik and Jessie Jiaxu Wang",2019,Bank Networks and Systemic Risk: Evidence from the National Banking Acts,American Economic Review,AER,109(9),3125-61,,0,0,"Liu, Mierendorff, Shi and Zhong (2019)_Auctions with Limited Commitment_AER 109(3) 876-910",,,0,1.0,,,,,0
000145,Excellent J 2019,20190911,,,,Andrews and Kasy,Isaiah Andrews and Maximilian Kasy,2019,Identification of and Correction for Publication Bias,American Economic Review,AER,109(8),2766-94,,"C13, C90, I23, J23, J38, L82",0,Andrews and Kasy (2019)_Identification of and Correction for Publication Bias_AER 109(8) 2766-94,,,0,1.0,,,,,0
000146,Excellent J 2019,20190911,,,,"Belot, Kircher, Muller","Michèle Belot, Philipp Kircher, Paul Muller",2019,Providing Advice to Jobseekers at Low Cost: An Experimental Study on Online Advice ,Review of Economic Studies,REStud,86(4),1411–1447,,,,,,,0,1.0,,,,,0
000147,Excellent J 2019,20190911,,,,"Bernard, Moxnes, and Saito","Andrew B. Bernard, Andreas Moxnes, and Yukiko U. Saito",2019,"Production Networks, Geography, and Firm Performance",Journal of Political Economy,JPE,127(2),639-688,,,,,,,0,1.0,,,,,0
000148,Excellent J 2019,20190911,,,,Björkegren,Daniel Björkegren,2019,The Adoption of Network Goods: Evidence from the Spread of Mobile Phones in Rwanda ,Review of Economic Studies,REStud,86(3),1033–1060,,,,,,,0,1.0,,,,,0
000149,Excellent J 2019,20190911,,,,"Breza, Chandrasekhar","Emily Breza, Arun G. Chandrasekhar",2019,"Social Networks, Reputation, and Commitment: Evidence From a Savings Monitors Experiment",Econometrica,Econometrica,87(1),175-216,,0,"Commitment, reputation, savings, social networks","Breza, Chandrasekhar_2019_Social Networks, Reputation, and Commitment Evidence From a Savings Monitors Experiment_Econometrica 87(1)",,,0,1.0,,,,,0
000150,Excellent J 2019,20190911,,,,Byrne and Roos,David P. Byrne and Nicolas de Roos,2019,Learning to Coordinate: A Study in Retail Gasoline,American Economic Review,AER,109(2),591-619,,"G34, L12, L13, L71, L81, Q35",0,Byrne and Roos (2019)_Learning to Coordinate A Study in Retail Gasoline_AER 109(2) 591-619,,,0,1.0,,,,,0
000151,Excellent J 2019,20190911,,,,"Cantoni, Yang, Yuchtman, Zhang","Davide Cantoni, David Y Yang, Noam Yuchtman, Y Jane Zhang",2019,Protests as Strategic Games: Experimental Evidence from Hong Kong's Antiauthoritarian Movement ,Quarterly Journal of Economics,QJE,134(2),1021–1077,,,,,,,0,1.0,,,,,0
000152,Excellent J 2019,20190911,,,,"Carroll, Segal","Gabriel Carroll, Ilya Segal",2019,Robustly Optimal Auctions with Unknown Resale Opportunities ,Review of Economic Studies,REStud,86(4),1527–1555,,,,,,,0,1.0,,,,,0
000153,Excellent J 2019,20190911,,,優先處理,Che and Mierendorff,Yeon-Koo Che and Konrad Mierendorff,2019,Optimal Dynamic Allocation of Attention,American Economic Review,AER,109(8),2993-3029,,"D72, D83, D91, L82",0,"Che and Mierendorff (2019)_Optimal Dynamic Allocation of Attention_AER 109(8), 2993-3029",,,0,2.0,,,,,0
000154,Excellent J 2019,20190911,,,,Chen and Yang,Yuyu Chen and David Y. Yang,2019,The Impact of Media Censorship: 1984 or Brave New World?,American Economic Review,AER,109(6),2294-2332,,"C93, D72, D83, L82, L86, L88, P36",0,Chen and Yang (2019)_The Impact of Media Censorship 1984 or Brave New World_AER 109(6) 2294-2332,,,0,1.0,,,,,0
000155,Excellent J 2019,20190911,,,,"Coey, Larsen, Sweeney","Dominic Coey, Bradley Larsen, Kane Sweeney",2019,The bidder exclusion effect,RAND Journal of Economics,RAND,50(1),93-120,,,,,,,0,1.0,,,,,0
000156,Excellent J 2019,20190911,,,,"Collard-Wexler, Gowrisankaran, andLee","Allan Collard-Wexler, Gautam Gowrisankaran, and Robin S. Lee",2019,“Nash-in-Nash” Bargaining: A Microfoundation for Applied Work,Journal of Political Economy,JPE,127(1),163-195,,,,,,,0,1.0,,,,,0
000157,Excellent J 2019,20190911,,,,"Crawford, Shcherbakov and Shum","Gregory S. Crawford, Oleksandr Shcherbakov and Matthew Shum",2019,Quality Overprovision in Cable Television Markets,American Economic Review,AER,109(3),956-95,,"L13, L15, L82)",0,"Crawford, Shcherbakov and Shum (2019)_Quality Overprovision in Cable Television Markets_AER 109(3) 956-95",,,0,1.0,,,,,0
000158,Excellent J 2019,20190911,,,,"D’Haultfœuille, Durrmeyer, Février","Xavier D’Haultfœuille, Isis Durrmeyer, Philippe Février",2019,Automobile Prices in Market Equilibrium with Unobserved Price Discrimination ,Review of Economic Studies,REStud,86(5),1973–1998,,,,,,,0,1.0,,,,,0
000159,Excellent J 2019,20190911,,,,Davis and Dingel,Donald R. Davis and Jonathan I. Dingel,2019,A Spatial Knowledge Economy,American Economic Review,AER,109(1),153-70,,"J24, J31, O31,R12, R23",,Davis and Dingel (2019)_A Spatial Knowledge Economy_AER 109(1) 153-70,,,0,1.0,,,,,0
000160,Excellent J 2019,20190911,,,,"Davis, Dingel, Monras and Morales","Donald R. Davis, Jonathan I. Dingel, Joan Monras, and Eduardo Morales",2019,How Segregated Is Urban Consumption?,Journal of Political Economy,JPE,127(4),1684-1738,,,,,,,0,1.0,,,,,0
000161,Excellent J 2019,20190911,,,,"Draca, Koutmeridis, Machin","Mirko Draca, Theodore Koutmeridis, Stephen Machin",2019,The Changing Returns to Crime: Do Criminals Respond to Prices? ,Review of Economic Studies,REStud,86(3),1228–1257,,,,,,,0,1.0,,,,,0
000162,Excellent J 2019,20190911,,,,Dur and Ünver,Umut Mert Dur and M. Utku Ünver,2019,Two-Sided Matching via Balanced Exchange,Journal of Political Economy,JPE,127(3),1156–1177,,,,,,,0,1.0,,,,,0
000163,Excellent J 2019,20190911,,,,"Durante, Pinotti and Tesei","Ruben Durante, Paolo Pinotti and Andrea Tesei",2019,The Political Legacy of Entertainment TV,American Economic Review,AER,109(7),2497-2530,,"D72, L82, M31, Z13",0,"Durante, Pinotti and Tesei (2019)_The Political Legacy of Entertainment TV_AER 109(7) 2497-2530",,,0,1.0,,,,,0
000164,Excellent J 2019,20190911,,,,"Egger, Nigai and Strecke","Peter H. Egger, Sergey Nigai and Nora M. Strecker",2019,The Taxing Deed of Globalization,American Economic Review,AER,109(2),353-90,,"D31, F16, F61, H22, H24",0,"Egger, Nigai and Strecker (2019)_The Taxing Deed of Globalization_AER 109(2) 353-90",,,0,1.0,,,,,0
000165,Excellent J 2019,20190911,,,,Elliott and Golub,Matthew Elliott and Benjamin Golub,2019,A Network Approach to Public Goods,Journal of Political Economy,JPE,127(2),730-776,,,,,,,0,1.0,,,,,0
000166,Excellent J 2019,20190911,,,,"Gavazza,  Nardotto,  Valletti","Alessandro Gavazza, Mattia Nardotto, Tommaso Valletti",2019,Internet and Politics: Evidence from U.K. Local Elections and Local Government Policies ,Review of Economic Studies,REStud,86(5),2092–2135,,,,,,,0,1.0,,,,,0
000167,Excellent J 2019,20190911,,,,Hjort and Poulsen,Jonas Hjort and Jonas Poulsen,2019,The Arrival of Fast Internet and Employment in Africa,American Economic Review,AER,109(3),1032-79,,"F14, J23, J24, J63, L86, O15, O33",0,Hjort and Poulsen (2019)_The Arrival of Fast Internet and Employment in Africa_AER 109(3) 1032-79,,,0,1.0,,,,,0
000168,Excellent J 2019,20190911,,,李宗穎老師可能有興趣,Ho and Lee,Kate Ho and Robin S. Lee,2019,Equilibrium Provider Networks: Bargaining and Exclusion in Health Care Markets,American Economic Review,AER,109(2),473-522,,"C78, D85, G22, H75, I11, I13, I18",0,Ho and Lee (2019)_Equilibrium Provider Networks Bargaining and Exclusion in Health Care Markets_AER 109(2) 473-522,,,0,1.0,,,,,0
000169,Excellent J 2019,20190911,,,,Jaravel,Xavier Jaravel,2019,The Unequal Gains from Product Innovations: Evidence from the U.S. Retail Sector ,Quarterly Journal of Economics,QJE,134(2),715–783,,,,,,,0,1.0,,,,,0
000170,Excellent J 2019,20190911,,,,"Jolivet, Turon","Grégory Jolivet, Hélène Turon",2019,Consumer Search Costs and Preferences on the Internet ,Review of Economic Studies,REStud,86(3),1258–1300,,,,,,,0,1.0,,,,,0
000171,Excellent J 2019,20190911,,,,"Kline, Petkova, Williams, Zidar","Patrick Kline, Neviana Petkova, Heidi Williams, Owen Zidar",2019,Who Profits from Patents? Rent-Sharing at Innovative Firms ,Quarterly Journal of Economics,QJE,134(3),1343–1404,,,,,,,0,1.0,,,,,0
000172,Excellent J 2019,20190911,,,,"Liu, Mierendorff, Shi and Zhong","Qingmin Liu, Konrad Mierendorff, Xianwen Shi and Weijie Zhong",2019,Auctions with Limited Commitment,American Economic Review,AER,109(3),876-910,,"D44, D82",,"Liu, Mierendorff, Shi and Zhong (2019)_Auctions with Limited Commitment_AER 109(3) 876-910",,,0,1.0,,,,,0
000173,Excellent J 2019,20190911,,,,Lundberg and Stearns,Shelly Lundberg and Jenna Stearns,2019,Women in Economics: Stalled Progress,Journal of Economic Perspectives,JEPerspectives,33(1),3-22,Women in economics,,,,,,0,1.0,,,,,0
000174,Excellent J 2019,20190911,,,,Mitchener and Richardson,Kris James Mitchener and Gary Richardson,2019,Network Contagion and Interbank Amplification during the Great Depression,Journal of Political Economy,JPE,127(2),465-507,,,,,,,0,1.0,,,,,0
000175,Excellent J 2019,20190911,,,,Nava and Schiraldi,Francesco Nava and Pasquale Schiraldi,2019,Differentiated Durable Goods Monopoly: A Robust Coase Conjecture,American Economic Review,AER,109(5),1930-68,,"C78, D42, L12",0,Nava and Schiraldi (2019)_Differentiated Durable Goods Monopoly A Robust Coase Conjecture_AER 109(5) 1930-68,,,0,1.0,,,,,0
000176,Excellent J 2019,20190911,,,,Nordhaus,William Nordhaus,2019,Can We Control Carbon Dioxide? (From 1975),American Economic Review,AER,109(6),2015-35,,0,0,Nordhaus (2019)_Can We Control Carbon Dioxide (From 1975)_AER 109(6) 2015-35,,,0,1.0,,,,,0
000177,Excellent J 2019,20190911,,,,Nordhaus,William Nordhaus,2019,Climate Change: The Ultimate Challenge for Economics,American Economic Review,AER,109(6),1991-2014,,0,0,Nordhaus (2019)_Climate Change The Ultimate Challenge for Economics_AER 109(6) 1991-2014,,,0,1.0,,,,,0
000178,Excellent J 2019,20190911,,,,Pakes and Sobel,Ariel Pakes and Joel Sobel,2019,Parag Pathak: Winner of the 2018 Clark Medal,Journal of Economic Perspectives,JEPerspectives,33(1),231-46,Articles,,,,,,0,1.0,,,,,0
000179,Excellent J 2019,20190911,,,,Polanski,Arnold Polanski,2019,"Communication networks, externalities, and the price of information",RAND Journal of Economics,RAND,50(2),481-502,,,,,,,0,1.0,,,,,0
000180,Excellent J 2019,20190911,,,,"Reisinger, Tarantino","Reisinger, Tarantino",2019,"Patent pools, vertical integration, and downstream competition",RAND Journal of Economics,RAND,50(1),168-200,,,,,,,0,1.0,,,,,0
000181,Excellent J 2019,20190911,,,,Roth and Wilson,Alvin E. Roth and Robert B. Wilson,2019,How Market Design Emerged from Game Theory: A Mutual Interview,Journal of Economic Perspectives,JEPerspectives,33(3),118-43,Articles,,,,,,0,1.0,,,,,0
000182,Excellent J 2019,20190911,,,,Schilbach,Frank Schilbach,2019,Alcohol and Self-Control: A Field Experiment in India,American Economic Review,AER,109(4),1290-1322,,"C93, D14, I12, J22, J24, J31, O12",,Schilbach (2019)_Alcohol and Self-Control A Field Experiment in India_AER 109(4) 1290-1322,,,0,1.0,,,,,0
000183,Excellent J 2019,20190911,,,,Taylor,Timothy Taylor,2019,Some Journal of Economic Perspectives Articles Recommended for Classroom Use,Journal of Economic Perspectives,JEPerspectives,33(3),243-48,Features,,,,,,0,1.0,,,,,0
000184,Convenience Store Industry,20190920,,游雅婷,,Nishida and Yang,"Mitsukuni Nishida, Nathan Yang",2019,Franchising as a Strategic Lever in Dynamic Retail Competition,Working Paper,WorkingPaper,,,,,,Nishida and Yang (2019)_Franchising as a Strategic Lever in Dynamic Retail Competition_Working Paper,,,0,1.0,,,,,0
000185,Convenience Store Industry,20190920,,游雅婷,,Nishida and Yang,"Mitsukuni Nishida, Nathan Yang",2018,Franchising and Preemption in Retail Expansion: Evidence from the Convenience-Store Industry,Working Paper,WorkingPaper,,,,,,Nishida and Yang (2018)_Franchising and Preemption in Retail Expansion_Working Paper,,,0,1.0,,,,,0
000186,Convenience Store Industry,20190920,,游雅婷,,Nishida,Mitsukuni Nishida,2015,Estimating a Model of Strategic Network Choice: The Convenience-Store Industry in Okinawa,Marketing Science,MarketingSci,34(1),20-38,,,,"Nishida (2015)_Estimating a Model of Strategic Network Choice_Marking Science 34(1), 20-38",,,0,1.0,,,,,0
000187,Convenience Store Industry,20190920,,游雅婷,,Nishida,Mitsukuni Nishida,2018,"A Structural Analysis of Entry Order, Performance, and Geography: The Case of the Convenience-Store Industry in Japan",Working Paper,WorkingPaper,,,,,,"Nishida (2018)_A Structural Analysis of Entry Order, Performance, and Geography_Working Paper, 1-47",,,0,1.0,,,,,0
000188,Convenience Store Industry,20190920,,游雅婷,,Nishida,Mitsukuni Nishida,2017,First-Mover Advantage Through Distribution: A Decomposition Approach,Marketing Science,MarketingSci,36(4),590-609,,,,"Nishida (2017)_First-Mover Advantage Through Distribution_Marking Science 36(4), 590-609",,,0,1.0,,,,,0
000189,FC 20190926,20190926,,賴孚權,,Sappington,David E. M. Sappington,2005,On the Irrelevance of Input Prices for Make-or-Buy Decisions,American Economic Review,AER,95(5),1631-1638,,,,"Sappington (2005)_On the Irrelevance of Input Prices for Make-or-Buy Decisions_AER 95(5), 1631-1638",,,0,1.0,,,,,0
000190,FC 20191001,20191001,,,,Buechel and Roehl,"Berno Buechel, Nils Roehl",2015,Robust Equilibria in Location Games,European Journal of Operational Research,EurJOpeResearch,240(2),505-517,,,,"Buechel and Roehl (2015)_Robust Equilibria in Location Games_European J Operational Research 240(2), 505-517",,,0,1.0,,,,,0
000191,FC 20191001,20191001,,賴孚權,,"Hoernig, Jay, Neumann, Peitz, Pluckebaum, Vogelsang","Steffen Hoernig, StephanJay, Karl-HeinzNeumann, MartinPeitz, Thomas Pluckebaum, IngoVogelsang",2012,The Impact of Different Fibre Access Network Technologies_,Telecommunications Policy,TelecommunPolicy,36(2),96-112,,,,"Hoernig et al. (2012)_The Impact of Different Fibre Access Network Technologies_Tele Policy 36(2), ",,,0,1.0,,,,,0
000192,FC 20191001,20191001,,賴孚權,,"Pinto, Almeida and Parreira","Alberto Pinto, João Paulo Almeida and Telmo Parreira",2016,Local Market Structure in a Hotelling Town,Journal of Dynamics and Games,JDynamGames,3(1),75-100,,,,"Pinto, Almeida and Parreira (2016)_Local Market Structure in a Hotelling Town_Journal of Dynamics and Games 3(1), 75-100",,,0,1.0,,,,,0
000193,FC 20191001,20191001,,,,Reggiani,,2014,Spatial Price Discrimination in the Spokes Model,Journal of Economics & Management Strategy,JEManageStrat,23(3),628-649,,,,"Reggiani (2014)_Spatial Price Discrimination in the Spokes Model_J Econ & Manag Strategy 23(3), 628-649",,,0,1.0,,,,,0
000194,FC 20191001,20191001,,,,Wang and Wang,,2018,A Network-City Model of Spatial Competition,Economics Letters,EL,170,168-170,,,,"Wang and Wang (2018)_A Network-City Model of Spatial Competition_Economics Letters 170, 168-170",,,0,1.0,,,,,0
000195,FC 20191003,20191003,,,,Chen and Riordan,Yongmin Chen and Michael H. Riordan,2007,Price and Variety in the Spokes Model,Economic Journal,EJ,117(522),897-921,,,,"Chen and Riordan (2007)_Price and Variety in the Spokes Model_EJ, 117(522), 897-921",,,0,1.0,,,,,0
000196,FC 20191007,20191007,,賴孚權,,Fershtman and Judd,Chaim Fershtman and Kenneth L. Judd,1987,Equilibrium Incentives in Oligopoly,American Economic Review,AER,77(5),927-940,,,,"Fershtman and Judd (1987)_Equilibrium Incentives in Oligopoly_AER 77(5), 927-940",,,0,0.0,,,,,0
000197,FC 20191007,20191007,,賴孚權,,"Fourcade, Ollion and Algan","Marion Fourcade, Etienne Ollion and Yann Algan",2015,The Superiority of Economists,Journal of Economic Perspectives,JEPerspectives,29(1),89-114,,,,"Fourcade, Ollion and Algan (2015)_The Superiority of Economists_JEPerspectives 29(1), 89-114",,,0,1.0,,,,,0
000198,FC 20191007,20191007,,賴孚權,,Mayer,,2000,Spatial Cournot Competition and Heterogenous Production Costs Across Locations,Regional Science and Urban Economics,RSUE,30(3),325-352,,,,"Mayer (2000)_Spatial Cournot Competition and Heterogenous Production Costs Across Locations_RSUE 30(3), 325-352",,,0,1.0,,,,,0
000199,AER2018,20191015,,,,"Akee, Copeland, Costello and Simeonova","Randall Akee, William Copeland, E. Jane Costello and Emilia Simeonova",2018,How Does Household Income Affect Child Personality Traits and Behaviors?,American Economic Review,AER,108(3),775-827,,"D14, I12, I26, I31, I38, J13, J15",,"Akee, Copeland, Costello and Simeonova (2018)_How Does Household Income Affect Child Personality_AER 108(3), 775-827",,,0,1.0,,,,,0
000200,AER2018,20191015,,,reply,Ausubel,Lawrence M. Ausubel,2018,An Efficient Ascending-Bid Auction for Multiple Objects: Reply,American Economic Review,AER,108(2),561-563,,D44,,"Ausubel (2018)_An Efficient Ascending-Bid Auction for Multiple Objects_AER 108(2), 561-563",,,0,1.0,,,,,0
000201,AER2018,20191015,,賴孚權陳為政,,"Bergemann, Bonatti and Smolin","Dirk Bergemann, Alessandro Bonatti and Alex Smolin",2018,The Design and Price of Information,American Economic Review,AER,108(1),1-48,,"D42, D81, D82, D83",,"Bergemann, Bonatti and Smolin (2018)_The Design and Price of Information_AER 108(1), 1-48",,,0,1.0,,,,,0
000202,AER2018,20191015,,,,"Blumenstock, Callen and Ghani","Joshua Blumenstock, Michael Callen and Tarek Ghani",2018,Why Do Defaults Affect Behavior? Experimental Evidence from Afghanistan,American Economic Review,AER,108(10),2868-2901,,"C93, D14, D91, O12",,"Blumenstock, Callen and Ghani (2018)_Why Do Defaults Affect Behavior_AER 108(10), 2868-2901",,,0,1.0,,,,,0
000203,AER2018,20191015,,,,Casaburi and Willis,Lorenzo Casaburi and Jack Willis,2018,Time versus State in Insurance: Experimental Evidence from Contract Farming in Kenya,American Economic Review,AER,108(12),3778-3813,,"G22, I32, O13, O16, Q12, Q14",,"Casaburi and Willis (2018)_Time versus State in Insurance_AER 108(12), 3778-3813",,,0,1.0,,,,,0
000204,AER2018,20191015,,,,Chahrour and Jurado,Ryan Chahrour and Kyle Jurado,2018,News or Noise? The Missing Link,American Economic Review,AER,108(7),1702-1736,,"D83, D84, E12, E23, E32",,"Chahrour and Jurado (2018)_News or Noise_AER 108(7), 1702-1736",,,0,1.0,,,,,0
000205,AER2018,20191015,,,,"Coibion, Gorodnichenko and Kumar","Olivier Coibion, Yuriy Gorodnichenko and Saten Kumar",2018,How Do Firms Form Their Expectations? New Survey Evidence,American Economic Review,AER,108(9),2671-2713,,"D22, D83, D84, E31, E52",,"Coibion, Gorodnichenko and Kumar (2018)_How Do Firms Form Their Expectations_AER 108(9), 2671-2713",,,0,1.0,,,,,0
000206,AER2018,20191015,,,,"Condra, Long, Shaver and Wright","Luke N. Condra, James D. Long, Andrew C. Shaver and Austin L. Wright",2018,The Logic of Insurgent Electoral Violence,American Economic Review,AER,108(11),3199-3231,,"D72, D74, O17",,"Condra, Long, Shaver and Wright (2018)_The Logic of Insurgent Electoral Violence_AER 108(11), 3199-3231",,,0,1.0,,,,,0
000207,AER2018,20191015,,,,"De Quidt, Haushofer and Roth","Jonathan de Quidt, Johannes Haushofer, and Christopher Roth",2018,Measuring and Bounding Experimenter Demand,American Economic Review,AER,108(11),3266-3302,,"C83, C90, D83, D91",,"De Quidt, Haushofer and Roth (2018)_Measuring and Bounding Experimenter Demand_AER 108(11), 3266-3302",,,0,1.0,,,,,0
000208,AER2018,20191015,,,,Dubois and Lasio,Pierre Dubois and Laura Lasio,2018,Identifying Industry Margins with Price Constraints: Structural Estimation on Pharmaceuticals,American Economic Review,AER,108(12),3685-3724,,"C51, D24, I18, L13, L51, L65",,"Dubois and Lasio (2018)_Identifying Industry Margins with Price Constraints_AER 108(12), 3685-3724",,,0,1.0,,,,,0
000209,AER2018,20191015,,,,"Eliason, Grieco, McDevitt and Roberts","Paul J. Eliason, Paul L. E. Grieco, Ryan C. McDevitt and James W. Roberts",2018,Strategic Patient Discharge: The Case of Long-Term Care Hospitals,American Economic Review,AER,108(11),3232-3265,,"H51, I11, I13, I18",,"Eliason, Grieco, McDevitt and Roberts (2018)_Strategic Patient Discharge_AER 108(11), 3232-3265",,,0,1.0,,,,,0
000210,AER2018,20191015,,,,"Fredriksson, Hensvik and Skans","Peter Fredriksson, Lena Hensvik and Oskar Nordström Skans",2018,"Mismatch of Talent: Evidence on Match Quality, Entry Wages, and Job Mobility",American Economic Review,AER,108(11),3303-3338,,"D83, J24, J31, J41, J63, J64",,"Fredriksson, Hensvik and Skans (2018)_Mismatch of Talent_AER 108(11), 3303-3338",,,0,1.0,,,,,0
000211,AER2018,20191015,,,,"Fudenberg, Strack and Strzalecki","Drew Fudenberg, Philipp Strack and Tomasz Strzalecki",2018,"Speed, Accuracy, and the Optimal Timing of Choices",American Economic Review,AER,108(12),3651-3684,,"C41, D11, D12, D83",,"Fudenberg, Strack and Strzalecki (2018)_Speed, Accuracy, and the Optimal Timing of Choices_AER 108(12), 3651-3684",,,0,1.0,,,,,0
000212,AER2018,20191015,,,,"Fuest, Peichl, and Siegloch","Clemens Fuest, Andreas Peichl and Sebastian Siegloch",2018,Do Higher Corporate Taxes Reduce Wages? Micro Evidence from Germany,American Economic Review,AER,108(2),393-418,,"H25, H31, H71, J16, J24, J31",,"Fuest, Peichl, and Siegloch (2018)_Do Higher Corporate Taxes Reduce Wages_AER 108(2), 393-418",,,0,1.0,,,,,0
000213,AER2018,20191015,,,,Gaubert,Cecile Gaubert,2018,Firm Sorting and Agglomeration,American Economic Review,AER,108(1),3117-3153,,"D22, D24, R11, R32",,"Gaubert (2018)_Firm Sorting and Agglomeration_AER 108(1), 3117-3153",,,0,1.0,,,,,0
000214,AER2018,20191015,,,,"Gavazza, Mongey and Violante","Alessandro Gavazza, Simon Mongey and Giovanni L. Violante",2018,Aggregate Recruiting Intensity,American Economic Review,AER,108(8),2088-2127,,"D22, E24, E32, J23, J41, J63, M51",,"Gavazza, Mongey and Violante (2018)_Aggregate Recruiting Intensity_AER 108(8), 2088-2127",,,0,1.0,,,,,0
000215,AER2018,20191015,,,,"Hamilton, Jungheim, McManus and Pantano","Barton H. Hamilton, Emily Jungheim, Brian McManus and Juan Pantano",2018,"Health Care Access, Costs, and Treatment Dynamics: Evidence from In Vitro Fertilization",American Economic Review,AER,108(12),3725-3777,,"G22, I11, I13, I18, J13, J16",,"Hamilton, Jungheim, McManus and Pantano (2018)_Health Care Access, Costs, and Treatment Dynamics_AER 108(12), 3725-3777",,,0,1.0,,,,,0
